step,pp_loss,fsdp_loss,abs_delta
187,3.630070,3.617588,0.012482
188,4.153588,4.129829,0.023759
189,3.733999,3.735375,0.001377
190,3.896878,3.927490,0.030611
191,4.249519,4.266061,0.016542
192,4.179112,4.188015,0.008903
193,4.181139,4.182556,0.001417
194,3.942335,3.888279,0.054056
195,4.175834,4.140112,0.035722
196,4.075671,4.086165,0.010494
197,3.834296,3.888227,0.053931
198,3.971123,4.009792,0.038669
199,3.930577,3.935591,0.005014
200,3.687936,3.731687,0.043751
201,4.278829,4.291798,0.012969
202,4.127801,4.107977,0.019824
203,3.600564,3.632329,0.031765
204,3.869889,3.875976,0.006087
205,3.948545,3.954897,0.006352
206,3.969892,3.957838,0.012054
207,4.221231,4.238530,0.017300
208,4.148920,4.165799,0.016879
209,4.312218,4.304062,0.008155
210,3.773901,3.774385,0.000485
211,3.845553,3.870283,0.024730
212,3.993224,3.971037,0.022187
213,3.935224,3.917778,0.017446
214,4.621170,4.646619,0.025449
215,4.069230,4.060669,0.008561
216,3.657238,3.667263,0.010025
217,3.906979,3.914520,0.007541
218,3.553073,3.582546,0.029473
219,3.819818,3.816203,0.003615
220,3.904671,3.927197,0.022526
221,3.720181,3.759946,0.039765
222,4.481809,4.488168,0.006359
223,4.090633,4.091342,0.000709
224,3.603590,3.615273,0.011683
225,4.089990,4.091223,0.001233
226,4.067767,4.075533,0.007766
227,3.704570,3.734587,0.030017
228,4.027797,4.057929,0.030131
229,4.009765,4.080808,0.071043
230,3.976455,4.006525,0.030070
231,3.638483,3.667540,0.029058
232,3.884430,3.908441,0.024011
233,4.381668,4.353477,0.028191
234,4.372572,4.429854,0.057282
235,4.236670,4.239427,0.002756
236,4.158860,4.141531,0.017329
237,3.775122,3.780322,0.005199
238,3.944643,3.926980,0.017663
239,3.604738,3.636182,0.031444
240,3.870927,3.860276,0.010651
241,3.753205,3.753528,0.000324
242,3.913652,3.961169,0.047517
243,3.928988,3.961549,0.032562
244,3.871785,3.856017,0.015768
245,3.904381,3.969366,0.064985
246,4.312618,4.259672,0.052946
247,3.581925,3.621104,0.039179
248,3.824976,3.833287,0.008310
249,3.901752,3.920986,0.019235
250,3.669491,3.690583,0.021092
251,4.445198,4.462120,0.016922
252,3.526032,3.515405,0.010628
