tok_embeddings.weight norm=1.5377819538e-01
layers.2._checkpoint_wrapped_module.ffn_norm.weight norm=6.4419843256e-02
layers.2._checkpoint_wrapped_module.attention_res_norm.weight norm=1.8761145475e-04
layers.2._checkpoint_wrapped_module.attention_res_proj.weight norm=9.2180697247e-03
layers.2._checkpoint_wrapped_module.ffn_res_norm.weight norm=2.9254907742e-02
layers.2._checkpoint_wrapped_module.ffn_res_proj.weight norm=1.4933469296e+00
layers.3._checkpoint_wrapped_module.attention.wq_a.weight norm=1.7057634890e-02
layers.3._checkpoint_wrapped_module.attention.q_norm.weight norm=3.3351549064e-04
layers.3._checkpoint_wrapped_module.attention.wq_b.weight norm=1.6970103607e-02
layers.3._checkpoint_wrapped_module.attention.wkv_a.weight norm=2.3888102174e-01
layers.3._checkpoint_wrapped_module.attention.kv_norm.weight norm=4.7628963366e-03
layers.3._checkpoint_wrapped_module.attention.wkv_b.weight norm=2.4320687354e-01
layers.3._checkpoint_wrapped_module.attention.gate.weight norm=5.3702272475e-02
layers.3._checkpoint_wrapped_module.attention.wo.weight norm=2.3308926821e-01
layers.3._checkpoint_wrapped_module.moe.routed_experts.inner_experts.w1_EFD norm=1.8624296188e+00
layers.3._checkpoint_wrapped_module.moe.routed_experts.inner_experts.w2_EDF norm=1.8300250769e+00
layers.3._checkpoint_wrapped_module.moe.routed_experts.inner_experts.w3_EFD norm=1.8561571836e+00
layers.3._checkpoint_wrapped_module.moe.router.gate.weight norm=3.7280103564e-01
layers.3._checkpoint_wrapped_module.moe.shared_experts.w13.weight norm=7.3209458590e-01
layers.3._checkpoint_wrapped_module.moe.shared_experts.w2.weight norm=5.0791901350e-01
layers.3._checkpoint_wrapped_module.moe.routed_down.weight norm=2.6504962444e+00
layers.3._checkpoint_wrapped_module.moe.routed_norm.weight norm=3.4847468138e-02
layers.3._checkpoint_wrapped_module.moe.routed_up.weight norm=1.8019121885e+00
layers.3._checkpoint_wrapped_module.attention_norm.weight norm=5.0758370198e-03
layers.3._checkpoint_wrapped_module.ffn_norm.weight norm=5.5552981794e-02
layers.3._checkpoint_wrapped_module.attention_res_norm.weight norm=7.4671866605e-04
layers.3._checkpoint_wrapped_module.attention_res_proj.weight norm=3.9181675762e-02
layers.3._checkpoint_wrapped_module.ffn_res_norm.weight norm=1.8384644762e-02
layers.3._checkpoint_wrapped_module.ffn_res_proj.weight norm=8.9021319151e-01
layers.4._checkpoint_wrapped_module.delta_attention.A_log norm=7.1304792073e-05
layers.4._checkpoint_wrapped_module.delta_attention.dt_bias norm=6.3419708749e-04
layers.4._checkpoint_wrapped_module.delta_attention.q_proj.weight norm=1.8692623824e-02
layers.4._checkpoint_wrapped_module.delta_attention.k_proj.weight norm=1.8884422258e-02
layers.4._checkpoint_wrapped_module.delta_attention.v_proj.weight norm=1.8625466153e-02
layers.4._checkpoint_wrapped_module.delta_attention.q_conv.weight norm=1.8627075478e-02
layers.4._checkpoint_wrapped_module.delta_attention.k_conv.weight norm=1.9269540906e-02
layers.4._checkpoint_wrapped_module.delta_attention.v_conv.weight norm=1.8457666039e-02
layers.4._checkpoint_wrapped_module.delta_attention.forget_a.weight norm=4.1153421625e-03
layers.4._checkpoint_wrapped_module.delta_attention.forget_b.weight norm=4.0525509976e-03
layers.4._checkpoint_wrapped_module.delta_attention.beta.weight norm=5.5221426301e-03
layers.4._checkpoint_wrapped_module.delta_attention.output_gate.weight norm=5.2292984910e-03
layers.4._checkpoint_wrapped_module.delta_attention.output_norm.weight norm=3.5269890213e-04
layers.4._checkpoint_wrapped_module.delta_attention.output_proj.weight norm=1.8770609051e-02
layers.4._checkpoint_wrapped_module.moe.routed_experts.inner_experts.w1_EFD norm=1.5921639204e+00
layers.4._checkpoint_wrapped_module.moe.routed_experts.inner_experts.w2_EDF norm=1.5975217819e+00
layers.4._checkpoint_wrapped_module.moe.routed_experts.inner_experts.w3_EFD norm=1.6150175333e+00
layers.4._checkpoint_wrapped_module.moe.router.gate.weight norm=2.4637898803e-01
layers.4._checkpoint_wrapped_module.moe.shared_experts.w13.weight norm=6.5563172102e-01
layers.4._checkpoint_wrapped_module.moe.shared_experts.w2.weight norm=4.7117590904e-01
layers.4._checkpoint_wrapped_module.moe.routed_down.weight norm=2.3130304813e+00
layers.4._checkpoint_wrapped_module.moe.routed_norm.weight norm=3.2178897411e-02
layers.4._checkpoint_wrapped_module.moe.routed_up.weight norm=1.5868818760e+00
layers.4._checkpoint_wrapped_module.attention_norm.weight norm=6.7128328374e-04
layers.4._checkpoint_wrapped_module.ffn_norm.weight norm=4.8124525696e-02
layers.4._checkpoint_wrapped_module.attention_res_norm.weight norm=1.9069499103e-04
layers.4._checkpoint_wrapped_module.attention_res_proj.weight norm=9.7239268944e-03
layers.4._checkpoint_wrapped_module.ffn_res_norm.weight norm=1.6638020054e-02
layers.4._checkpoint_wrapped_module.ffn_res_proj.weight norm=8.4370505810e-01
layers.5._checkpoint_wrapped_module.delta_attention.A_log norm=7.8658937127e-05
layers.5._checkpoint_wrapped_module.delta_attention.dt_bias norm=5.8340578107e-04
layers.5._checkpoint_wrapped_module.delta_attention.q_proj.weight norm=1.6049504280e-02
layers.5._checkpoint_wrapped_module.delta_attention.k_proj.weight norm=1.6333702952e-02
layers.5._checkpoint_wrapped_module.delta_attention.v_proj.weight norm=1.6032351181e-02
layers.5._checkpoint_wrapped_module.delta_attention.q_conv.weight norm=1.6275279224e-02
layers.5._checkpoint_wrapped_module.delta_attention.k_conv.weight norm=1.5747869387e-02
layers.5._checkpoint_wrapped_module.delta_attention.v_conv.weight norm=1.5961540863e-02
layers.5._checkpoint_wrapped_module.delta_attention.forget_a.weight norm=3.8601150736e-03
layers.5._checkpoint_wrapped_module.delta_attention.forget_b.weight norm=4.0264497511e-03
layers.5._checkpoint_wrapped_module.delta_attention.beta.weight norm=4.7773681581e-03
layers.5._checkpoint_wrapped_module.delta_attention.output_gate.weight norm=4.5308028348e-03
layers.5._checkpoint_wrapped_module.delta_attention.output_norm.weight norm=3.2921473030e-04
layers.5._checkpoint_wrapped_module.delta_attention.output_proj.weight norm=1.6021186486e-02
layers.5._checkpoint_wrapped_module.moe.routed_experts.inner_experts.w1_EFD norm=1.4007356167e+00
layers.5._checkpoint_wrapped_module.moe.routed_experts.inner_experts.w2_EDF norm=1.3989155293e+00
layers.5._checkpoint_wrapped_module.moe.routed_experts.inner_experts.w3_EFD norm=1.4306763411e+00
layers.5._checkpoint_wrapped_module.moe.router.gate.weight norm=2.0092955232e-01
layers.5._checkpoint_wrapped_module.moe.shared_experts.w13.weight norm=5.9497785568e-01
layers.5._checkpoint_wrapped_module.moe.shared_experts.w2.weight norm=4.2375710607e-01
layers.5._checkpoint_wrapped_module.moe.routed_down.weight norm=2.0438227654e+00
layers.5._checkpoint_wrapped_module.moe.routed_norm.weight norm=2.9201762751e-02
layers.5._checkpoint_wrapped_module.moe.routed_up.weight norm=1.4022891521e+00
layers.5._checkpoint_wrapped_module.attention_norm.weight norm=5.9073121520e-04
layers.5._checkpoint_wrapped_module.ffn_norm.weight norm=4.4000357389e-02
layers.5._checkpoint_wrapped_module.attention_res_norm.weight norm=2.2853033443e-04
layers.5._checkpoint_wrapped_module.attention_res_proj.weight norm=1.1502205394e-02
layers.5._checkpoint_wrapped_module.ffn_res_norm.weight norm=1.0036174208e-02
layers.5._checkpoint_wrapped_module.ffn_res_proj.weight norm=4.8910844326e-01
layers.6._checkpoint_wrapped_module.delta_attention.A_log norm=8.5037754616e-05
layers.6._checkpoint_wrapped_module.delta_attention.dt_bias norm=4.0238146903e-04
layers.6._checkpoint_wrapped_module.delta_attention.q_proj.weight norm=1.4606829733e-02
layers.6._checkpoint_wrapped_module.delta_attention.k_proj.weight norm=1.4759883285e-02
layers.6._checkpoint_wrapped_module.delta_attention.v_proj.weight norm=1.4831968583e-02
layers.6._checkpoint_wrapped_module.delta_attention.q_conv.weight norm=1.4963509515e-02
layers.6._checkpoint_wrapped_module.delta_attention.k_conv.weight norm=1.4862799086e-02
layers.6._checkpoint_wrapped_module.delta_attention.v_conv.weight norm=1.4883836731e-02
layers.6._checkpoint_wrapped_module.delta_attention.forget_a.weight norm=2.8103129007e-03
layers.6._checkpoint_wrapped_module.delta_attention.forget_b.weight norm=2.7481652796e-03
layers.6._checkpoint_wrapped_module.delta_attention.beta.weight norm=4.0017794818e-03
layers.6._checkpoint_wrapped_module.delta_attention.output_gate.weight norm=4.2280796915e-03
layers.6._checkpoint_wrapped_module.delta_attention.output_norm.weight norm=3.1961750938e-04
layers.6._checkpoint_wrapped_module.delta_attention.output_proj.weight norm=1.5021356754e-02
layers.6._checkpoint_wrapped_module.moe.routed_experts.inner_experts.w1_EFD norm=1.3405823708e+00
layers.6._checkpoint_wrapped_module.moe.routed_experts.inner_experts.w2_EDF norm=1.3040862083e+00
layers.6._checkpoint_wrapped_module.moe.routed_experts.inner_experts.w3_EFD norm=1.3279007673e+00
layers.6._checkpoint_wrapped_module.moe.router.gate.weight norm=2.0229212940e-01
layers.6._checkpoint_wrapped_module.moe.shared_experts.w13.weight norm=5.5820518732e-01
layers.6._checkpoint_wrapped_module.moe.shared_experts.w2.weight norm=3.8887152076e-01
layers.6._checkpoint_wrapped_module.moe.routed_down.weight norm=1.9022146463e+00
layers.6._checkpoint_wrapped_module.moe.routed_norm.weight norm=2.6451358572e-02
layers.6._checkpoint_wrapped_module.moe.routed_up.weight norm=1.3239849806e+00
