step,pp_loss,fsdp_loss,abs_delta
187,3.940068,3.617588,0.322480
188,4.544955,4.129829,0.415126
189,4.093719,3.735375,0.358344
190,4.244385,3.927490,0.316895
191,4.606826,4.266061,0.340765
192,4.428878,4.188015,0.240863
193,4.519946,4.182556,0.337390
194,4.203526,3.888279,0.315247
195,4.413404,4.140112,0.273292
196,4.395691,4.086165,0.309526
197,4.326730,3.888227,0.438503
198,4.240776,4.009792,0.230984
199,4.256709,3.935591,0.321118
200,3.994680,3.731687,0.262993
201,4.547318,4.291798,0.255520
202,4.374728,4.107977,0.266751
203,3.864910,3.632329,0.232580
204,4.167997,3.875976,0.292022
205,4.214721,3.954897,0.259824
206,4.389639,3.957838,0.431801
207,4.580189,4.238530,0.341659
208,4.473738,4.165799,0.307939
209,4.548771,4.304062,0.244709
210,4.028954,3.774385,0.254568
211,4.082108,3.870283,0.211825
212,4.320981,3.971037,0.349943
213,4.320538,3.917778,0.402760
214,4.927420,4.646619,0.280801
215,4.309525,4.060669,0.248857
216,4.020778,3.667263,0.353514
217,4.268418,3.914520,0.353898
218,3.883960,3.582546,0.301414
219,4.106042,3.816203,0.289839
220,4.247442,3.927197,0.320246
221,4.047904,3.759946,0.287958
222,4.878084,4.488168,0.389916
223,4.453367,4.091342,0.362025
224,3.820770,3.615273,0.205497
225,4.420800,4.091223,0.329577
226,4.461710,4.075533,0.386177
227,4.111435,3.734587,0.376849
228,4.428088,4.057929,0.370160
229,4.367856,4.080808,0.287047
230,4.374622,4.006525,0.368098
231,3.991422,3.667540,0.323882
232,4.249072,3.908441,0.340631
233,4.634131,4.353477,0.280655
234,4.622292,4.429854,0.192437
235,4.619928,4.239427,0.380502
236,4.407950,4.141531,0.266419
237,4.124745,3.780322,0.344424
238,4.286965,3.926980,0.359985
239,3.991218,3.636182,0.355036
240,4.123614,3.860276,0.263339
241,4.116938,3.753528,0.363409
242,4.360428,3.961169,0.399259
243,4.292603,3.961549,0.331054
244,4.202323,3.856017,0.346306
245,4.297809,3.969366,0.328443
246,4.443515,4.259672,0.183843
247,3.946583,3.621104,0.325479
248,4.202421,3.833287,0.369134
249,4.252055,3.920986,0.331069
250,3.968931,3.690583,0.278348
251,4.793087,4.462120,0.330968
252,3.815686,3.515405,0.300281
253,4.250444,3.996917,0.253527
254,4.385338,3.990983,0.394355
255,4.564997,4.166254,0.398743
256,4.238336,3.738341,0.499995
257,4.519429,4.172655,0.346775
258,3.969116,3.582879,0.386237
259,4.513395,4.191005,0.322390
260,4.079930,3.710411,0.369520
261,4.029012,3.687036,0.341976
262,4.483850,4.147923,0.335927
263,4.477994,4.260963,0.217031
264,4.840395,4.503333,0.337062
265,4.860683,4.570157,0.290526
266,4.136900,3.852029,0.284872
267,4.204072,3.810062,0.394010
268,4.203221,3.978276,0.224946
269,3.950047,3.547527,0.402521
270,4.116736,3.779919,0.336818
271,3.613636,3.361849,0.251787
272,4.244452,3.955947,0.288505
273,4.521112,4.229283,0.291829
274,4.004643,3.710924,0.293719
275,4.079308,3.847062,0.232246
276,4.384384,4.039704,0.344680
277,4.292249,3.956054,0.336195
278,4.567534,4.204797,0.362737
279,4.559847,4.198216,0.361630
280,4.023602,3.727290,0.296313
281,4.240308,3.888039,0.352269
282,3.983216,3.645134,0.338082
283,4.367221,4.067017,0.300205
284,4.179047,3.811195,0.367851
285,4.341803,3.989267,0.352536
286,4.162362,3.806232,0.356130
287,4.328560,4.000292,0.328268
288,4.674443,4.329802,0.344641
289,4.490723,4.225521,0.265202
290,3.895514,3.543663,0.351851
291,3.825998,3.548141,0.277857
292,4.305986,4.029730,0.276257
293,4.394670,4.002367,0.392302
294,3.904553,3.660098,0.244455
295,4.196723,3.808239,0.388484
296,3.946891,3.604748,0.342144
297,4.643641,4.400922,0.242720
298,4.256834,3.893777,0.363057
299,4.385166,3.912881,0.472285
300,4.583993,4.349596,0.234397
301,4.615503,4.303157,0.312346
302,4.495705,4.079874,0.415832
303,4.600624,4.267259,0.333365
304,4.461682,4.029246,0.432436
305,4.337044,3.992653,0.344391
306,4.355834,4.012883,0.342952
307,4.001387,3.683140,0.318247
308,4.182986,3.908407,0.274579
309,3.684021,3.403457,0.280564
310,4.115262,3.752093,0.363169
311,4.419593,4.138011,0.281582
312,4.365580,3.938581,0.426999
313,3.967365,3.713150,0.254215
314,4.290288,3.971484,0.318804
315,4.228415,4.056408,0.172008
316,4.205420,4.012825,0.192595
317,4.262272,4.008381,0.253891
318,4.092955,3.695286,0.397669
319,4.310744,3.920653,0.390091
320,4.318818,3.961390,0.357428
321,4.435653,4.206278,0.229375
322,4.006647,3.684885,0.321761
323,4.167697,3.920858,0.246839
324,4.469778,4.004091,0.465686
325,4.092414,3.782577,0.309838
326,4.044974,3.644130,0.400843
327,4.282262,3.780998,0.501264
328,4.511572,4.303279,0.208292
329,4.166778,3.903823,0.262955
330,3.971924,3.584803,0.387121
331,4.502920,4.218286,0.284634
332,4.250120,3.883477,0.366643
333,4.272688,3.948021,0.324667
334,3.969075,3.668530,0.300546
335,3.906272,3.669887,0.236384
336,4.017343,3.577333,0.440010
337,3.917289,3.625042,0.292247
338,4.582780,4.273779,0.309001
339,4.022228,3.698755,0.323473
340,4.234854,4.018542,0.216312
341,4.375053,3.983217,0.391837
342,4.280938,4.057297,0.223641
343,4.243368,3.936553,0.306815
344,4.061911,3.689512,0.372398
345,4.135872,3.766767,0.369105
346,4.420138,4.151364,0.268774
347,4.388545,4.009387,0.379158
348,3.916736,3.642137,0.274599
349,4.319524,3.933223,0.386301
350,4.109255,3.878989,0.230266
351,3.941563,3.709332,0.232232
352,3.846715,3.550764,0.295951
353,4.277879,4.100921,0.176958
354,4.257629,3.902834,0.354795
355,4.617959,4.382287,0.235672
356,4.278228,3.871749,0.406479
357,4.329656,4.028280,0.301376
358,3.941283,3.724629,0.216654
359,4.161965,3.935909,0.226057
360,4.028655,3.752828,0.275827
361,4.334950,3.960137,0.374813
362,4.016396,3.876787,0.139609
363,4.095187,3.638060,0.457128
364,3.906354,3.647528,0.258826
365,4.289290,4.011694,0.277596
366,4.332114,4.106288,0.225826
367,4.075576,3.793973,0.281604
368,4.185395,3.754030,0.431365
369,4.072433,3.754567,0.317865
370,4.273860,4.017828,0.256032
371,4.447355,4.110741,0.336615
372,4.019689,3.732464,0.287225
373,4.060697,3.714631,0.346066
374,4.140951,3.880579,0.260372
375,4.108173,3.852580,0.255594
376,4.035681,3.674881,0.360799
377,4.357452,4.064139,0.293313
378,4.108426,3.730293,0.378134
