step,pp_loss,fsdp_loss,abs_delta
1,6.000006,5.999685,0.000321
2,5.768750,5.785383,0.016633
3,5.672566,5.768265,0.095699
4,5.511488,5.639076,0.127588
5,6.075976,6.144195,0.068218
6,5.269234,5.406613,0.137379
7,5.829076,6.011383,0.182307
8,5.251309,5.477004,0.225695
9,5.322108,5.473805,0.151697
10,4.974440,5.161906,0.187466
11,5.363703,5.523108,0.159406
12,4.938365,5.104780,0.166415
13,6.048404,6.225770,0.177367
14,5.107876,5.326118,0.218242
15,5.019054,5.254361,0.235307
16,5.143828,5.324704,0.180875
17,5.655631,5.905713,0.250082
18,4.933956,5.206293,0.272337
19,5.066780,5.356145,0.289365
20,5.214317,5.491253,0.276936
21,5.725607,6.036932,0.311325
22,5.073229,5.362473,0.289243
23,5.506528,5.754876,0.248348
24,4.934107,5.242017,0.307910
25,4.736115,4.871127,0.135012
26,4.714232,4.971510,0.257278
27,5.109256,5.393377,0.284121
28,5.354721,5.527980,0.173259
29,4.986479,5.274631,0.288152
30,5.125219,5.337741,0.212523
31,4.335123,4.497659,0.162536
32,4.572279,4.848269,0.275990
33,5.074845,5.279475,0.204630
34,5.398534,5.528993,0.130459
35,5.163690,5.222790,0.059100
36,4.614556,4.848328,0.233772
37,5.175601,5.269050,0.093449
38,5.035571,5.239526,0.203955
39,4.401163,4.551878,0.150715
40,4.276155,4.554435,0.278280
41,4.828102,5.006020,0.177917
42,4.566502,4.707884,0.141382
43,4.680654,4.818078,0.137424
44,5.300559,5.415159,0.114600
45,4.687323,4.858057,0.170734
46,4.474401,4.701574,0.227173
47,4.360810,4.540418,0.179608
48,4.955645,5.109393,0.153749
49,4.678410,4.853251,0.174841
50,5.294963,5.457709,0.162746
51,4.483121,4.626022,0.142901
52,4.428722,4.584827,0.156105
53,5.232522,5.304783,0.072261
54,4.869992,4.905622,0.035630
55,4.586156,4.665406,0.079250
56,5.092419,5.233644,0.141226
57,4.529890,4.627208,0.097318
58,4.636870,4.780184,0.143313
59,4.620955,4.746924,0.125969
60,4.666333,4.816570,0.150237
61,5.019385,5.264811,0.245426
62,4.232755,4.347326,0.114572
63,4.643081,4.818951,0.175870
64,4.303176,4.423684,0.120508
65,4.936988,5.024220,0.087232
66,3.977561,4.071081,0.093520
67,4.519197,4.651746,0.132549
68,4.524903,4.628613,0.103711
69,4.706733,4.822355,0.115622
70,4.088619,4.266589,0.177970
71,5.076554,5.257710,0.181155
72,4.471109,4.634379,0.163270
73,5.169372,5.298728,0.129357
74,4.337768,4.470159,0.132391
75,4.413519,4.567470,0.153951
76,4.588449,4.743775,0.155327
77,4.788060,4.961337,0.173277
78,4.352906,4.603870,0.250965
79,4.241989,4.362898,0.120910
80,4.827597,5.041983,0.214386
81,4.299507,4.455314,0.155807
82,4.260561,4.486150,0.225589
83,4.409340,4.731455,0.322114
84,4.392466,4.602327,0.209862
85,4.728239,4.859351,0.131112
86,3.999636,4.293877,0.294241
87,3.621518,3.871927,0.250409
88,4.329172,4.433544,0.104372
89,4.615606,4.794130,0.178524
90,4.554965,4.783889,0.228924
91,4.690835,4.907813,0.216977
92,4.295845,4.427494,0.131649
93,4.770593,4.941010,0.170417
94,4.541398,4.846089,0.304691
95,4.572293,4.848527,0.276234
96,4.676681,4.826763,0.150082
97,4.717546,4.849982,0.132436
98,4.050017,4.250854,0.200837
99,4.197086,4.422776,0.225690
100,4.383450,4.606305,0.222855
101,4.528563,4.750668,0.222105
102,4.701811,4.858808,0.156997
103,4.527751,4.760665,0.232913
104,4.492755,4.745735,0.252980
105,4.156125,4.403194,0.247069
106,4.493676,4.627554,0.133878
107,4.581121,4.664138,0.083017
108,4.380380,4.578641,0.198261
109,4.444151,4.668436,0.224285
110,4.241810,4.529946,0.288136
111,4.269909,4.416655,0.146746
112,4.453326,4.620351,0.167025
113,4.199789,4.392606,0.192817
114,4.175849,4.386517,0.210668
115,4.415427,4.656821,0.241395
116,3.866160,4.085744,0.219584
117,4.328976,4.507112,0.178135
118,4.528756,4.865793,0.337037
119,4.123326,4.297141,0.173815
120,4.324059,4.539071,0.215013
