step,pp_loss,fsdp_loss,abs_delta
187,4.074616,4.093118,0.018501
188,4.288433,4.319093,0.030660
189,4.362409,4.355828,0.006581
190,4.393938,4.397823,0.003886
191,3.942469,3.917545,0.024924
192,4.076428,4.083870,0.007442
193,4.081581,4.044559,0.037022
194,4.318270,4.276309,0.041961
195,3.707954,3.778109,0.070155
196,3.635749,3.613373,0.022376
197,4.656462,4.687839,0.031377
198,3.742986,3.681519,0.061468
199,4.271128,4.336282,0.065154
200,4.337610,4.282408,0.055202
201,4.215390,4.245159,0.029768
202,3.771178,3.769404,0.001774
203,4.977914,5.017217,0.039302
204,4.489235,4.484376,0.004859
205,4.024414,3.998982,0.025432
206,3.908902,3.908415,0.000487
207,4.117760,4.127868,0.010108
208,3.929556,3.884050,0.045506
209,4.391352,4.460829,0.069477
210,4.457623,4.433020,0.024603
211,4.085822,4.097109,0.011287
212,3.918677,3.935745,0.017068
213,4.479988,4.541969,0.061981
214,4.010260,3.930537,0.079722
215,4.382699,4.398337,0.015638
216,3.991633,4.047744,0.056111
217,3.807392,3.749465,0.057928
218,3.913235,3.937357,0.024122
219,4.117173,4.032009,0.085164
220,3.652924,3.647420,0.005504
221,4.007685,4.018335,0.010650
222,3.614582,3.587540,0.027042
223,4.060905,4.038963,0.021943
224,4.261758,4.260706,0.001051
225,4.069085,4.041023,0.028062
226,4.313244,4.322874,0.009630
227,4.207699,4.241146,0.033447
228,3.838399,3.913679,0.075280
229,3.709232,3.693853,0.015378
230,3.844418,3.794928,0.049490
231,4.362306,4.343374,0.018932
232,3.785511,3.769474,0.016037
233,3.788420,3.821033,0.032613
234,4.138546,4.179975,0.041429
235,3.959488,3.940751,0.018737
236,4.136167,4.091396,0.044770
237,3.436810,3.443307,0.006497
238,3.885430,3.852655,0.032775
239,4.272872,4.321496,0.048624
240,4.040955,4.058925,0.017970
241,4.297683,4.214590,0.083093
242,3.778344,3.814118,0.035774
243,4.275099,4.258281,0.016818
244,4.561252,4.550917,0.010334
245,4.229808,4.256155,0.026347
246,3.789883,3.715030,0.074853
247,3.849569,3.834302,0.015268
248,4.528108,4.492685,0.035423
249,3.723323,3.727706,0.004383
250,3.863138,3.818380,0.044758
251,3.896116,3.899317,0.003201
252,3.894663,3.860452,0.034211
253,3.969142,3.975086,0.005944
254,4.130277,4.141059,0.010782
255,3.920101,3.938505,0.018404
256,4.261961,4.262693,0.000732
257,4.404370,4.388758,0.015613
258,3.683863,3.685878,0.002016
259,3.963732,3.957695,0.006037
260,4.251432,4.212161,0.039271
261,4.005828,3.974864,0.030964
262,3.913108,3.842186,0.070921
263,3.932777,4.029612,0.096834
264,4.083561,4.113777,0.030216
265,4.047492,4.129275,0.081783
266,3.830103,3.844748,0.014645
267,3.633166,3.681278,0.048112
268,4.257092,4.273183,0.016091
269,3.954075,4.010871,0.056796
270,3.594839,3.578897,0.015942
271,3.990617,3.986044,0.004573
272,3.887466,3.842416,0.045050
273,3.870088,3.868762,0.001326
274,3.873874,3.833536,0.040338
275,4.160268,4.138952,0.021316
276,4.352610,4.399494,0.046885
277,4.130529,4.127734,0.002795
278,4.052727,4.108158,0.055431
279,4.464019,4.420660,0.043360
280,3.464971,3.488513,0.023542
281,3.834612,3.859333,0.024721
282,4.044326,4.081586,0.037261
283,4.164366,4.176316,0.011950
284,3.574987,3.536433,0.038554
285,4.738020,4.689084,0.048936
286,3.982349,3.944114,0.038235
287,4.222867,4.225399,0.002532
288,3.617459,3.577911,0.039548
289,4.104516,4.052298,0.052218
290,3.154579,3.183349,0.028770
291,3.974164,3.998263,0.024098
292,3.781304,3.742999,0.038306
293,4.020241,3.965622,0.054619
294,3.644406,3.622067,0.022338
295,4.131410,4.149413,0.018003
296,4.482603,4.452866,0.029737
297,4.143465,4.108851,0.034614
298,3.434736,3.456021,0.021285
299,3.932186,3.960207,0.028020
300,4.106784,4.099947,0.006837
301,3.629603,3.627822,0.001780
302,4.200933,4.208961,0.008029
303,3.791543,3.774827,0.016716
304,4.079267,4.067437,0.011830
305,3.952461,3.964582,0.012121
306,3.973924,3.997205,0.023282
307,3.823540,3.786057,0.037483
308,3.833889,3.905569,0.071680
309,3.857025,3.898504,0.041479
310,4.042950,3.980816,0.062134
311,4.617867,4.591672,0.026196
312,4.184156,4.243215,0.059059
313,3.944005,3.943038,0.000968
314,4.252502,4.264968,0.012466
315,4.135431,4.114749,0.020682
316,3.854733,3.778861,0.075872
317,3.984892,3.979435,0.005456
318,3.855612,3.877666,0.022053
319,3.611961,3.641579,0.029618
320,3.735426,3.741652,0.006226
321,3.856374,3.786504,0.069870
322,3.483955,3.470497,0.013458
323,4.186301,4.192455,0.006154
324,4.040778,4.057504,0.016726
325,3.821225,3.841726,0.020501
326,3.645827,3.667630,0.021803
327,4.088188,4.092167,0.003979
328,4.424652,4.439694,0.015043
329,3.607486,3.593256,0.014230
330,3.543373,3.630267,0.086894
331,3.949085,3.956347,0.007263
332,3.935725,4.000877,0.065151
333,3.567329,3.592861,0.025532
334,4.174758,4.266069,0.091311
335,4.391765,4.333704,0.058061
336,3.366193,3.407648,0.041456
337,3.787652,3.830118,0.042466
338,4.301863,4.336424,0.034562
339,3.944460,3.948038,0.003577
340,4.035061,4.063156,0.028094
341,3.725448,3.743094,0.017646
342,4.100054,4.118114,0.018060
343,3.902998,3.987221,0.084223
344,3.607097,3.562192,0.044905
345,4.213512,4.263085,0.049573
346,3.694070,3.760204,0.066134
347,3.623990,3.610912,0.013078
348,3.854893,3.852724,0.002169
349,4.239553,4.254617,0.015064
350,4.243816,4.212726,0.031091
351,4.384250,4.349905,0.034344
352,4.394618,4.370069,0.024549
353,4.592909,4.540756,0.052153
354,4.108885,4.054945,0.053940
355,3.604529,3.599797,0.004732
356,3.892359,3.871096,0.021264
357,4.074457,4.035298,0.039159
358,3.612662,3.656855,0.044193
359,3.456851,3.483394,0.026543
360,3.840687,3.812390,0.028296
361,3.276194,3.302217,0.026022
362,3.925579,3.956471,0.030892
363,3.996142,3.986950,0.009192
364,4.166286,4.130123,0.036163
365,3.601009,3.647427,0.046418
366,4.106123,4.158334,0.052211
367,3.811832,3.840831,0.028999
368,3.757979,3.773790,0.015811
369,3.951645,3.996844,0.045199
370,3.777049,3.790219,0.013170
371,4.413709,4.401225,0.012484
372,4.199542,4.205661,0.006119
373,3.736618,3.750405,0.013787
374,3.723288,3.758038,0.034750
375,3.961254,3.922415,0.038839
376,3.557340,3.565027,0.007687
377,4.331099,4.247739,0.083360
378,3.878676,3.893071,0.014396
379,3.638143,3.596843,0.041301
380,4.025823,4.012715,0.013107
381,3.853763,3.893721,0.039958
382,3.898191,3.882087,0.016105
383,3.901623,3.865793,0.035830
384,4.406719,4.408448,0.001729
385,4.218908,4.285806,0.066897
386,3.582897,3.569935,0.012962
387,3.593760,3.620620,0.026860
388,3.531853,3.515411,0.016442
389,4.016742,3.974227,0.042515
390,4.165885,4.154545,0.011340
391,3.896624,3.865559,0.031065
392,3.517538,3.520892,0.003355
393,3.832574,3.891846,0.059272
394,3.530490,3.478316,0.052175
395,4.129671,4.082588,0.047083
396,4.175488,4.203846,0.028358
397,3.876713,3.863317,0.013397
398,3.905043,3.849720,0.055323
399,3.885157,3.853823,0.031334
400,4.628901,4.648067,0.019166
401,3.852098,3.886095,0.033996
402,4.269659,4.258242,0.011417
403,4.055510,4.058099,0.002589
404,4.595780,4.580997,0.014783
405,3.996966,4.000486,0.003520
406,4.015630,4.061166,0.045537
407,3.775339,3.739516,0.035824
408,4.086036,4.133461,0.047425
409,3.822375,3.867110,0.044735
410,3.758458,3.788258,0.029800
411,3.514143,3.558009,0.043866
412,3.491224,3.496166,0.004942
413,3.686625,3.692453,0.005828
414,4.282166,4.265703,0.016462
415,3.717595,3.671332,0.046262
416,4.093309,4.107159,0.013850
417,3.864756,3.884950,0.020194
418,3.691202,3.739329,0.048127
419,4.008647,4.024107,0.015460
420,3.947425,3.954364,0.006939
421,3.530138,3.504410,0.025728
422,4.216265,4.165533,0.050733
423,3.988728,3.952973,0.035756
424,3.867377,3.846256,0.021122
425,4.080092,4.074911,0.005181
426,3.603760,3.647960,0.044200
427,4.018626,3.975109,0.043517
428,4.391787,4.347476,0.044311
429,3.765552,3.748070,0.017483
430,3.469501,3.422054,0.047447
431,4.253865,4.249382,0.004483
432,3.983583,3.957242,0.026341
433,3.790439,3.792481,0.002042
434,3.482657,3.505968,0.023311
435,3.862244,3.869714,0.007470
436,3.887709,3.789340,0.098369
437,4.337084,4.371813,0.034729
438,4.320541,4.393491,0.072950
439,3.580982,3.553975,0.027007
440,3.335913,3.301440,0.034474
441,4.227848,4.157666,0.070182
442,3.994564,4.034568,0.040004
443,3.974408,3.997395,0.022987
444,3.882444,3.880368,0.002076
445,3.562857,3.565834,0.002977
446,3.422302,3.451121,0.028818
447,4.025902,4.030303,0.004402
448,3.416063,3.433155,0.017092
449,3.568480,3.602911,0.034431
450,4.076752,4.132440,0.055688
451,4.268686,4.218170,0.050516
452,3.527146,3.543903,0.016757
453,3.889429,3.865916,0.023513
454,4.211417,4.216654,0.005237
455,3.925713,3.897974,0.027740
456,4.043563,4.065030,0.021466
457,4.022686,4.077844,0.055158
458,3.434794,3.456145,0.021350
459,3.909395,3.926024,0.016629
460,3.642489,3.640018,0.002471
461,4.255480,4.287126,0.031646
462,3.413483,3.487571,0.074088
463,4.267140,4.338768,0.071628
464,3.539243,3.528855,0.010388
465,3.869462,3.855947,0.013515
466,3.842135,3.817190,0.024945
467,3.634797,3.657858,0.023060
468,3.872358,3.948902,0.076544
469,3.484201,3.541682,0.057480
470,3.639228,3.621450,0.017778
471,4.466625,4.502324,0.035699
472,3.858960,3.839935,0.019025
473,4.890100,4.889559,0.000541
474,3.392123,3.411014,0.018891
475,3.873635,3.858221,0.015414
476,4.121411,4.078440,0.042972
477,3.547483,3.522355,0.025128
478,3.839644,3.827156,0.012489
479,4.218125,4.190688,0.027438
480,3.637068,3.583565,0.053503
481,4.030793,4.049265,0.018472
482,3.805747,3.787020,0.018727
483,3.820298,3.782601,0.037697
484,3.725921,3.661755,0.064166
485,3.744694,3.729750,0.014944
486,3.897090,3.911036,0.013946
487,4.116262,4.168321,0.052058
488,3.879624,3.853711,0.025914
489,3.985144,3.979820,0.005324
490,3.740649,3.754711,0.014062
491,3.433244,3.487268,0.054024
492,3.883374,3.895844,0.012469
493,3.732702,3.737622,0.004920
494,4.180246,4.234475,0.054228
495,4.181048,4.166996,0.014052
496,3.691597,3.665667,0.025930
497,3.254790,3.219166,0.035624
498,4.308297,4.293570,0.014728
499,3.850880,3.873787,0.022907
500,3.825840,3.816842,0.008998
501,3.614268,3.617416,0.003148
502,3.972976,4.043847,0.070871
503,3.947486,3.905388,0.042098
504,3.810784,3.801285,0.009499
505,3.786436,3.768566,0.017870
506,3.539280,3.577287,0.038006
507,3.614559,3.634922,0.020362
508,4.154545,4.195205,0.040659
509,4.225453,4.159441,0.066013
510,3.834266,3.818785,0.015481
511,3.844965,3.804796,0.040169
512,3.393283,3.396945,0.003662
513,3.878236,3.879399,0.001163
514,3.332474,3.342332,0.009858
515,3.641204,3.620958,0.020246
516,3.944327,3.959782,0.015455
517,3.295815,3.306610,0.010795
518,3.819477,3.779484,0.039993
519,3.472728,3.526999,0.054271
520,4.204074,4.232803,0.028729
521,3.733361,3.672281,0.061080
522,3.791527,3.799974,0.008447
523,4.377879,4.412718,0.034839
524,3.990129,4.043825,0.053695
525,4.690524,4.739579,0.049056
526,4.162589,4.124576,0.038013
527,4.526299,4.531710,0.005412
528,3.664534,3.654041,0.010493
529,3.679214,3.681632,0.002419
530,4.105067,4.081511,0.023555
531,3.565119,3.584948,0.019829
532,3.942513,3.953538,0.011025
533,3.934977,3.851643,0.083334
534,4.611075,4.594421,0.016654
535,4.155091,4.180440,0.025349
536,4.164877,4.097977,0.066900
537,3.710744,3.699755,0.010989
538,3.408916,3.440880,0.031964
539,3.510205,3.587170,0.076965
540,3.599017,3.649591,0.050574
541,3.975051,4.008846,0.033795
542,3.544247,3.596778,0.052531
543,3.612965,3.659390,0.046426
544,4.149998,4.157438,0.007440
545,3.621478,3.647039,0.025562
546,3.677233,3.738968,0.061734
547,3.547803,3.526947,0.020856
548,4.074834,4.088035,0.013201
549,3.662559,3.692906,0.030348
550,3.964569,3.932282,0.032287
551,4.187998,4.159976,0.028021
552,3.802554,3.765865,0.036689
553,3.805205,3.806008,0.000804
554,3.430780,3.398120,0.032661
555,3.933115,3.970708,0.037593
556,4.038915,4.041721,0.002806
557,3.832748,3.863447,0.030699
558,4.457078,4.426187,0.030891
559,3.383136,3.382798,0.000337
560,4.331664,4.316506,0.015158
561,3.686544,3.713100,0.026556
562,4.455917,4.502827,0.046909
563,3.671513,3.668037,0.003475
564,3.586905,3.626029,0.039124
565,3.687135,3.717885,0.030751
566,3.694319,3.746984,0.052665
567,3.816340,3.836275,0.019934
568,4.149290,4.184965,0.035675
569,3.475444,3.529650,0.054206
570,3.350183,3.354331,0.004148
571,4.042811,4.026869,0.015942
572,3.819658,3.810683,0.008975
573,3.369598,3.419378,0.049780
574,4.099121,4.107358,0.008237
575,4.434247,4.465246,0.030999
576,4.379903,4.431604,0.051702
577,3.671292,3.673470,0.002178
578,3.848805,3.838364,0.010440
579,3.787674,3.796896,0.009221
580,4.358826,4.419287,0.060462
581,4.157178,4.202120,0.044942
582,3.399821,3.417986,0.018166
583,3.851644,3.845742,0.005901
584,3.793879,3.766378,0.027501
585,3.801690,3.852144,0.050454
586,3.905834,3.882913,0.022920
587,4.211080,4.220000,0.008920
588,3.588836,3.581649,0.007187
589,3.835667,3.862476,0.026809
590,4.265706,4.288023,0.022316
591,4.258308,4.220774,0.037534
592,3.943549,3.929176,0.014374
593,4.598968,4.564715,0.034252
594,3.442030,3.448843,0.006813
595,4.043868,4.035143,0.008725
596,4.071451,4.090557,0.019105
597,4.304219,4.330518,0.026299
598,3.902735,3.916526,0.013792
599,4.030914,4.031764,0.000850
600,4.114944,4.118127,0.003184
601,3.763828,3.796252,0.032424
602,3.797843,3.753494,0.044348
603,3.581540,3.557226,0.024314
604,3.440853,3.391569,0.049284
605,3.777380,3.822451,0.045071
606,3.380818,3.344460,0.036358
607,4.060690,4.058793,0.001898
608,3.579840,3.579151,0.000690
609,4.063089,4.090606,0.027516
610,3.942015,3.939764,0.002251
611,3.920848,3.989556,0.068708
612,3.801152,3.834485,0.033332
613,3.566549,3.560678,0.005871
614,3.969666,3.978184,0.008518
615,3.758308,3.788188,0.029880
616,3.891431,3.895136,0.003705
617,4.007716,4.023233,0.015518
618,4.500139,4.451655,0.048484
619,3.938355,3.917915,0.020440
620,3.755250,3.731244,0.024006
621,3.736717,3.758719,0.022001
622,3.885377,3.905530,0.020153
623,3.704003,3.599518,0.104485
624,3.631802,3.592898,0.038904
625,3.983237,4.019830,0.036593
626,4.157413,4.194228,0.036815
627,4.422296,4.422678,0.000382
628,3.873124,3.861581,0.011542
629,3.773188,3.780929,0.007741
630,3.678995,3.656387,0.022608
631,3.480993,3.442318,0.038675
632,3.352928,3.424255,0.071327
633,3.885756,3.861970,0.023786
634,3.539480,3.521715,0.017764
635,3.911767,3.879306,0.032461
636,3.377631,3.363729,0.013902
637,3.615369,3.675281,0.059912
638,3.442875,3.487036,0.044162
639,3.527193,3.519520,0.007672
640,3.960981,3.970629,0.009649
641,3.643170,3.707807,0.064637
642,3.714474,3.764953,0.050479
643,3.560333,3.564779,0.004447
644,3.605927,3.613610,0.007682
645,3.715304,3.786962,0.071658
646,4.731040,4.780294,0.049254
647,3.693676,3.674226,0.019451
648,3.619038,3.598453,0.020585
649,3.701296,3.717856,0.016561
650,3.274518,3.312139,0.037621
651,4.112428,4.041431,0.070997
652,3.308046,3.343804,0.035758
653,3.273827,3.285581,0.011754
654,3.612546,3.555956,0.056590
655,3.857092,3.832772,0.024321
656,3.727602,3.790968,0.063366
657,3.750630,3.759413,0.008784
658,3.805034,3.834288,0.029254
659,3.274586,3.295522,0.020936
660,3.653399,3.619382,0.034017
661,3.381314,3.317906,0.063408
662,3.600239,3.549839,0.050400
663,3.964412,3.985224,0.020812
664,3.746971,3.794987,0.048016
665,3.620436,3.585377,0.035059
666,3.676293,3.626057,0.050236
667,4.327657,4.348675,0.021018
668,3.854260,3.830166,0.024094
669,3.913011,3.932035,0.019024
670,4.283372,4.282659,0.000713
671,3.330439,3.311975,0.018464
672,4.078258,4.055416,0.022842
673,3.772261,3.811260,0.038999
674,3.707300,3.711481,0.004181
675,3.847579,3.801032,0.046546
676,3.581016,3.591555,0.010539
677,3.588477,3.586438,0.002039
678,3.399687,3.414931,0.015244
679,3.788037,3.824835,0.036798
680,3.814937,3.841622,0.026685
681,3.987058,3.982980,0.004078
682,3.641183,3.634423,0.006760
683,4.005127,4.012460,0.007333
684,3.909081,3.901377,0.007704
685,3.891237,3.883862,0.007375
686,3.405661,3.432986,0.027325
687,3.881835,3.923902,0.042067
688,3.526328,3.498717,0.027611
689,3.369425,3.394310,0.024885
690,3.631148,3.641225,0.010077
691,3.960532,3.989467,0.028935
692,3.883974,3.880179,0.003795
693,4.075483,4.048120,0.027363
694,3.596791,3.561528,0.035263
695,3.429173,3.444324,0.015151
696,3.846239,3.833961,0.012278
697,3.580725,3.636401,0.055676
698,3.348717,3.374911,0.026193
699,3.298997,3.330524,0.031527
700,3.391864,3.439892,0.048028
701,3.462831,3.485481,0.022650
702,3.612869,3.623049,0.010181
703,3.689777,3.670903,0.018874
704,3.461650,3.464672,0.003022
705,3.567489,3.549024,0.018466
706,3.333261,3.339904,0.006643
707,3.657937,3.634393,0.023544
708,3.648917,3.665524,0.016607
709,3.668753,3.700724,0.031971
710,4.036402,4.065303,0.028902
711,3.608603,3.645527,0.036923
712,3.639671,3.700166,0.060495
713,3.726439,3.763877,0.037438
714,3.483765,3.461616,0.022149
715,3.363980,3.377438,0.013458
716,3.855795,3.864374,0.008578
717,3.475536,3.478744,0.003207
718,4.104465,4.051485,0.052979
719,3.926374,3.908828,0.017546
720,3.952626,3.957676,0.005050
721,3.548324,3.560385,0.012061
722,4.053680,4.062328,0.008647
723,3.846673,3.818613,0.028060
724,3.237736,3.209448,0.028288
725,3.712703,3.718966,0.006262
726,3.408363,3.380665,0.027698
727,3.860209,3.806264,0.053945
728,3.678417,3.666137,0.012280
729,4.105752,4.100993,0.004759
730,3.911726,3.922077,0.010351
731,3.492278,3.493117,0.000839
732,3.394558,3.410244,0.015687
733,4.224172,4.235747,0.011575
734,3.499140,3.497520,0.001621
735,3.604491,3.603297,0.001194
736,3.933156,3.926928,0.006228
737,4.156441,4.107626,0.048815
738,3.983237,4.020654,0.037417
739,3.803305,3.830981,0.027676
740,4.242723,4.229052,0.013671
741,3.474608,3.482324,0.007716
742,3.767947,3.719771,0.048177
743,3.930115,3.940001,0.009887
744,3.966613,3.992624,0.026011
745,4.029874,4.024871,0.005003
746,4.040617,4.015676,0.024941
747,3.998257,4.001380,0.003124
748,3.617690,3.634081,0.016391
749,4.182491,4.189909,0.007417
750,4.028342,4.003556,0.024786
751,4.400407,4.404546,0.004139
752,3.418440,3.457464,0.039023
753,4.222396,4.230351,0.007955
754,3.452764,3.436027,0.016737
755,3.495094,3.533421,0.038327
756,3.361718,3.359723,0.001995
757,4.221947,4.203878,0.018069
758,4.117164,4.102998,0.014166
759,3.537838,3.543000,0.005163
760,3.858050,3.914171,0.056121
761,3.724148,3.725158,0.001011
762,3.662858,3.702448,0.039591
763,4.368680,4.395183,0.026502
764,4.133146,4.184549,0.051403
765,3.883794,3.896737,0.012943
766,3.257878,3.266583,0.008705
767,3.531550,3.541235,0.009685
768,3.928941,3.916263,0.012678
769,3.594834,3.591857,0.002976
770,3.758652,3.751351,0.007302
771,3.769676,3.782614,0.012938
772,3.926071,3.896981,0.029090
773,3.606147,3.638796,0.032649
774,3.298907,3.257570,0.041337
775,4.052215,4.024126,0.028089
776,3.538551,3.468846,0.069705
777,3.655042,3.615803,0.039240
778,3.637542,3.598404,0.039138
779,3.738943,3.741786,0.002843
780,3.967300,3.961492,0.005808
781,3.330949,3.313376,0.017573
782,3.535794,3.567560,0.031766
783,3.843958,3.855058,0.011100
784,3.895584,3.932617,0.037033
785,3.707021,3.784246,0.077226
786,3.563665,3.574474,0.010809
787,4.419672,4.422744,0.003072
788,3.804746,3.811591,0.006845
789,3.749744,3.700482,0.049261
790,4.075046,4.068492,0.006554
791,3.766607,3.795663,0.029056
792,3.572074,3.526503,0.045570
793,3.584047,3.595122,0.011075
794,3.426346,3.498439,0.072093
795,3.703027,3.650755,0.052272
796,4.106133,4.078022,0.028111
797,3.319323,3.282496,0.036827
798,4.278722,4.248726,0.029995
799,3.832090,3.827332,0.004758
800,3.641310,3.645974,0.004664
801,3.705873,3.634801,0.071072
802,4.006264,3.984199,0.022065
803,4.035561,3.997657,0.037903
804,3.641196,3.643961,0.002765
805,3.528589,3.523883,0.004707
806,3.578360,3.543759,0.034601
807,3.323919,3.339521,0.015603
