step,pp_loss,fsdp_loss,abs_delta
187,4.074616,4.062523,0.012094
188,4.288433,4.310118,0.021685
189,4.362409,4.409788,0.047379
190,4.393938,4.401497,0.007559
191,3.942469,3.930501,0.011968
192,4.076428,4.076952,0.000524
193,4.081581,4.058596,0.022985
194,4.318270,4.301932,0.016337
195,3.707954,3.700175,0.007779
196,3.635749,3.653054,0.017304
197,4.656462,4.639660,0.016801
198,3.742986,3.778733,0.035747
199,4.271128,4.305560,0.034432
200,4.337610,4.339968,0.002358
201,4.215390,4.182857,0.032534
202,3.771178,3.789659,0.018480
203,4.977914,4.986058,0.008144
204,4.489235,4.491106,0.001871
205,4.024414,4.020562,0.003852
206,3.908902,3.915934,0.007032
207,4.117760,4.173131,0.055371
208,3.929556,3.915976,0.013581
209,4.391352,4.376387,0.014965
210,4.457623,4.435299,0.022324
211,4.085822,4.118845,0.033023
212,3.918677,3.918061,0.000616
213,4.479988,4.459750,0.020238
214,4.010260,4.036397,0.026137
215,4.382699,4.377815,0.004883
216,3.991633,3.985484,0.006149
217,3.807392,3.779557,0.027835
218,3.913235,3.923534,0.010299
219,4.117173,4.097562,0.019610
220,3.652924,3.607857,0.045066
221,4.007685,3.979139,0.028546
222,3.614582,3.595457,0.019124
223,4.060905,4.016833,0.044073
224,4.261758,4.227182,0.034575
225,4.069085,4.045996,0.023089
226,4.313244,4.320911,0.007667
227,4.207699,4.186686,0.021013
228,3.838399,3.829297,0.009102
229,3.709232,3.724585,0.015353
230,3.844418,3.832088,0.012330
231,4.362306,4.391758,0.029452
232,3.785511,3.782376,0.003135
233,3.788420,3.802876,0.014455
234,4.138546,4.148909,0.010363
235,3.959488,3.963002,0.003514
236,4.136167,4.116986,0.019181
237,3.436810,3.421741,0.015068
238,3.885430,3.871861,0.013569
239,4.272872,4.298093,0.025220
240,4.040955,4.043984,0.003029
241,4.297683,4.278158,0.019525
242,3.778344,3.743174,0.035170
243,4.275099,4.272119,0.002980
244,4.561252,4.560546,0.000705
245,4.229808,4.252733,0.022925
246,3.789883,3.790321,0.000438
247,3.849569,3.817971,0.031598
248,4.528108,4.567590,0.039482
249,3.723323,3.752652,0.029329
250,3.863138,3.829892,0.033246
251,3.896116,3.910810,0.014694
252,3.894663,3.878447,0.016216
253,3.969142,3.975603,0.006461
254,4.130277,4.110511,0.019766
255,3.920101,3.879183,0.040919
256,4.261961,4.289562,0.027601
257,4.404370,4.423631,0.019261
258,3.683863,3.651183,0.032680
259,3.963732,3.960741,0.002991
260,4.251432,4.231230,0.020202
261,4.005828,3.998006,0.007822
262,3.913108,3.866649,0.046459
263,3.932777,3.974195,0.041418
264,4.083561,4.058187,0.025374
265,4.047492,4.045651,0.001840
266,3.830103,3.815956,0.014148
267,3.633166,3.645247,0.012082
268,4.257092,4.259467,0.002375
269,3.954075,3.959347,0.005272
270,3.594839,3.577350,0.017488
271,3.990617,3.992336,0.001719
272,3.887466,3.815263,0.072203
273,3.870088,3.872411,0.002323
274,3.873874,3.846990,0.026885
275,4.160268,4.179784,0.019516
276,4.352610,4.329454,0.023156
277,4.130529,4.139733,0.009204
278,4.052727,4.056896,0.004169
279,4.464019,4.485541,0.021522
280,3.464971,3.495978,0.031007
281,3.834612,3.851213,0.016601
282,4.044326,4.043669,0.000657
283,4.164366,4.195393,0.031027
284,3.574987,3.585780,0.010792
285,4.738020,4.718871,0.019149
286,3.982349,3.992267,0.009918
287,4.222867,4.192436,0.030431
288,3.617459,3.601781,0.015677
289,4.104516,4.124603,0.020087
290,3.154579,3.168743,0.014164
291,3.974164,3.937697,0.036468
292,3.781304,3.800324,0.019020
293,4.020241,3.999647,0.020594
294,3.644406,3.641817,0.002589
295,4.131410,4.163217,0.031807
296,4.482603,4.487987,0.005383
297,4.143465,4.161710,0.018245
298,3.434736,3.459367,0.024631
299,3.932186,3.954354,0.022168
300,4.106784,4.143118,0.036334
301,3.629603,3.600738,0.028865
302,4.200933,4.210578,0.009645
303,3.791543,3.776671,0.014871
304,4.079267,4.085443,0.006176
305,3.952461,3.916504,0.035957
306,3.973924,3.992353,0.018429
307,3.823540,3.807571,0.015969
308,3.833889,3.810891,0.022998
309,3.857025,3.834299,0.022727
310,4.042950,4.018156,0.024795
311,4.617867,4.626253,0.008386
312,4.184156,4.177639,0.006517
313,3.944005,3.931943,0.012062
314,4.252502,4.240785,0.011718
315,4.135431,4.148038,0.012607
316,3.854733,3.816372,0.038361
317,3.984892,3.965600,0.019291
318,3.855612,3.859991,0.004379
319,3.611961,3.625934,0.013973
320,3.735426,3.740968,0.005543
321,3.856374,3.803865,0.052509
322,3.483955,3.472347,0.011608
323,4.186301,4.178426,0.007875
324,4.040778,4.046426,0.005648
325,3.821225,3.825792,0.004567
326,3.645827,3.660273,0.014445
327,4.088188,4.098055,0.009867
328,4.424652,4.446474,0.021822
329,3.607486,3.583309,0.024177
330,3.543373,3.563850,0.020477
331,3.949085,3.961406,0.012321
332,3.935725,3.950445,0.014720
333,3.567329,3.578928,0.011599
334,4.174758,4.213120,0.038362
335,4.391765,4.343718,0.048047
336,3.366193,3.354205,0.011988
337,3.787652,3.735006,0.052646
338,4.301863,4.340667,0.038805
339,3.944460,3.923507,0.020953
340,4.035061,4.044723,0.009662
341,3.725448,3.702759,0.022689
342,4.100054,4.151917,0.051863
343,3.902998,3.941217,0.038219
344,3.607097,3.614596,0.007499
345,4.213512,4.182004,0.031508
346,3.694070,3.692575,0.001495
347,3.623990,3.632661,0.008671
348,3.854893,3.911608,0.056715
349,4.239553,4.243470,0.003917
350,4.243816,4.261045,0.017228
351,4.384250,4.336227,0.048022
352,4.394618,4.340626,0.053991
353,4.592909,4.604398,0.011489
354,4.108885,4.092772,0.016113
355,3.604529,3.600316,0.004213
356,3.892359,3.883940,0.008419
357,4.074457,4.062323,0.012134
358,3.612662,3.644152,0.031490
359,3.456851,3.458903,0.002053
360,3.840687,3.830421,0.010265
361,3.276194,3.282188,0.005994
362,3.925579,3.894504,0.031075
363,3.996142,3.986262,0.009880
364,4.166286,4.160931,0.005356
365,3.601009,3.610115,0.009106
366,4.106123,4.094826,0.011297
367,3.811832,3.784626,0.027206
368,3.757979,3.756673,0.001306
369,3.951645,3.975837,0.024192
370,3.777049,3.818904,0.041855
371,4.413709,4.398772,0.014936
372,4.199542,4.258421,0.058879
373,3.736618,3.746018,0.009400
374,3.723288,3.717713,0.005575
375,3.961254,3.910484,0.050770
376,3.557340,3.573061,0.015721
377,4.331099,4.284392,0.046707
378,3.878676,3.872169,0.006507
379,3.638143,3.638457,0.000314
380,4.025823,4.046574,0.020751
381,3.853763,3.854076,0.000313
382,3.898191,3.948615,0.050424
383,3.901623,3.883924,0.017699
384,4.406719,4.402490,0.004230
385,4.218908,4.225357,0.006449
386,3.582897,3.603374,0.020478
387,3.593760,3.543917,0.049844
388,3.531853,3.537427,0.005574
389,4.016742,4.018668,0.001926
390,4.165885,4.171458,0.005573
391,3.896624,3.867475,0.029149
392,3.517538,3.520028,0.002490
393,3.832574,3.838011,0.005437
394,3.530490,3.512490,0.018001
395,4.129671,4.100279,0.029392
396,4.175488,4.185006,0.009518
397,3.876713,3.841599,0.035114
398,3.905043,3.885697,0.019346
399,3.885157,3.876223,0.008934
400,4.628901,4.617275,0.011627
