lib,ep,E,H,K,sigma,target_maxvio,maxvio,plan_us,pf_us,d_f_us,d_b_us,c_f_us,c_b_us,d_f_gbps,d_b_gbps,c_f_gbps,c_b_gbps
moonep,4,384,7168,8,0.06611690262414815,0.2,0.19677734375,104.28096055984497,499.6790313720703,2040.9985733032227,1858.9106750488281,1426.2648391723633,1437.6520156860352,460.3256995321862,505.4164832182275,658.7304616898426,653.5128708122509
moonep,4,384,7168,8,0.23501400846134893,1.0,1.00830078125,103.97552013397217,501.71424865722656,2042.188491821289,1862.2959899902344,1411.9441223144531,1434.2715072631836,460.05748233460196,504.4977281001002,665.4116697337398,655.0531689727005
moonep,4,384,7168,8,1.0090350448414476,10.0,10.04052734375,105.39167881011963,499.9956798553467,2034.0129470825195,1856.436996459961,1420.0513458251953,1436.6153717041016,461.90664486556176,506.0899442273442,661.6127640469509,653.9844376616576
moonep,4,384,7168,8,1.4330125702369627,20.0,19.79345703125,101.8940806388855,501.1012840270996,2039.0214538574219,1867.6293182373047,1448.997917175293,1456.1518478393555,460.7720503492535,503.05705036090154,648.3957532744615,645.2102487759569
