act per layer per 8K micro-batch (report recipe, estimate): 1.63 GiB
params: experts 92 x 29.6 B + MTP 30.2 B

=== H100: HBM 74.5 GiB, NVLink domain 8, IB 50 GB/s per GPU
TP candidates (divide 96 heads, inside one NVLink domain, at most 8): [1, 2, 3, 4, 6, 8]
| PP x VP | EP | TP | stages | layers/stage | static GiB (rank) | layer x mb in flight (M) | acts no offload GiB | AttnRes+hidden (lower bound) GiB | headroom for acts GiB | acts that must leave HBM | EP IB ms / layer fwd ms |
| 8 x 2 | 32 | 8 | 16 | 5.8 | 39 (r1) | 126 (16) | 26 | 2.4 | 33 | 0% | 3 / 5 |
| 8 x 2 | 64 | 8 | 16 | 5.8 | 26 (r1) | 126 (16) | 26 | 2.4 | 46 | 0% | 3 / 5 |
| 8 x 3 | 32 | 1 | 24 | 3.9 | 51 (r1) | 116 (16) | 189 | 23.4 | -0 | 100% | 21 / 42 |
| 8 x 3 | 64 | 1 | 24 | 3.9 | 39 (r0) | 116 (16) | 189 | 23.4 | 12 | 94% | 25 / 42 |
| 8 x 3 | 16 | 2 | 24 | 3.9 | 70 (r1) | 116 (16) | 95 | 11.7 | -7 | 100% | 7 / 21 |
| 8 x 3 | 32 | 2 | 24 | 3.9 | 44 (r1) | 116 (16) | 95 | 11.7 | 19 | 80% | 11 / 21 |
| 8 x 3 | 64 | 2 | 24 | 3.9 | 31 (r1) | 116 (16) | 95 | 11.7 | 32 | 67% | 12 / 21 |
| 8 x 3 | 16 | 8 | 24 | 3.9 | 65 (r1) | 116 (16) | 24 | 2.9 | 7 | 71% | 2 / 5 |
| 8 x 3 | 32 | 8 | 24 | 3.9 | 39 (r1) | 116 (16) | 24 | 2.9 | 33 | 0% | 3 / 5 |
| 8 x 3 | 64 | 8 | 24 | 3.9 | 26 (r1) | 116 (16) | 24 | 2.9 | 46 | 0% | 3 / 5 |
| 8 x 4 | 32 | 1 | 32 | 2.9 | 52 (r3) | 111 (16) | 181 | 27.8 | -6 | 100% | 21 / 42 |
| 8 x 4 | 64 | 1 | 32 | 2.9 | 40 (r3) | 111 (16) | 181 | 27.8 | 7 | 96% | 25 / 42 |
| 8 x 4 | 16 | 2 | 32 | 2.9 | 71 (r3) | 111 (16) | 91 | 13.9 | -10 | 100% | 7 / 21 |
| 8 x 4 | 32 | 2 | 32 | 2.9 | 45 (r3) | 111 (16) | 91 | 13.9 | 16 | 82% | 11 / 21 |
| 8 x 4 | 64 | 2 | 32 | 2.9 | 32 (r3) | 111 (16) | 91 | 13.9 | 29 | 68% | 12 / 21 |
| 8 x 4 | 16 | 8 | 32 | 2.9 | 65 (r3) | 111 (16) | 23 | 3.5 | 6 | 72% | 2 / 5 |
| 8 x 4 | 32 | 8 | 32 | 2.9 | 39 (r3) | 111 (16) | 23 | 3.5 | 32 | 0% | 3 / 5 |
| 8 x 4 | 64 | 8 | 32 | 2.9 | 26 (r3) | 111 (16) | 23 | 3.5 | 45 | 0% | 3 / 5 |
| 16 x 1 | 16 | 1 | 16 | 5.8 | 50 (r1) | 174 (32) | 284 | 15.3 | 9 | 97% | 14 / 42 |
| 16 x 1 | 32 | 1 | 16 | 5.8 | 35 (r1) | 174 (32) | 284 | 15.3 | 25 | 91% | 21 / 42 |
| 16 x 1 | 64 | 1 | 16 | 5.8 | 27 (r1) | 174 (32) | 284 | 15.3 | 32 | 89% | 25 / 42 |
| 16 x 1 | 16 | 2 | 16 | 5.8 | 46 (r1) | 174 (32) | 142 | 7.7 | 21 | 85% | 7 / 21 |
| 16 x 1 | 32 | 2 | 16 | 5.8 | 31 (r1) | 174 (32) | 142 | 7.7 | 36 | 75% | 11 / 21 |
| 16 x 1 | 64 | 2 | 16 | 5.8 | 23 (r1) | 174 (32) | 142 | 7.7 | 44 | 69% | 12 / 21 |
| 16 x 1 | 8 | 8 | 16 | 5.8 | 74 (r1) | 174 (32) | 36 | 1.9 | -2 | 100% | 0 / 5 |
| 16 x 1 | 16 | 8 | 16 | 5.8 | 43 (r1) | 174 (32) | 36 | 1.9 | 29 | 17% | 2 / 5 |
| 16 x 1 | 32 | 8 | 16 | 5.8 | 28 (r1) | 174 (32) | 36 | 1.9 | 45 | 0% | 3 / 5 |
| 16 x 1 | 64 | 8 | 16 | 5.8 | 20 (r1) | 174 (32) | 36 | 1.9 | 53 | 0% | 3 / 5 |
| 16 x 2 | 16 | 1 | 32 | 2.9 | 51 (r3) | 135 (32) | 220 | 38.1 | -14 | 100% | 14 / 42 |
| 16 x 2 | 32 | 1 | 32 | 2.9 | 35 (r3) | 135 (32) | 220 | 38.1 | 1 | 99% | 21 / 42 |
| 16 x 2 | 64 | 1 | 32 | 2.9 | 27 (r3) | 135 (32) | 220 | 38.1 | 9 | 96% | 25 / 42 |
| 16 x 2 | 16 | 2 | 32 | 2.9 | 46 (r3) | 135 (32) | 110 | 19.0 | 9 | 92% | 7 / 21 |
| 16 x 2 | 32 | 2 | 32 | 2.9 | 31 (r3) | 135 (32) | 110 | 19.0 | 25 | 78% | 11 / 21 |
| 16 x 2 | 64 | 2 | 32 | 2.9 | 23 (r3) | 135 (32) | 110 | 19.0 | 32 | 71% | 12 / 21 |
| 16 x 2 | 8 | 8 | 32 | 2.9 | 74 (r3) | 135 (32) | 28 | 4.8 | -4 | 100% | 0 / 5 |
| 16 x 2 | 16 | 8 | 32 | 2.9 | 43 (r3) | 135 (32) | 28 | 4.8 | 27 | 4% | 2 / 5 |
| 16 x 2 | 32 | 8 | 32 | 2.9 | 28 (r3) | 135 (32) | 28 | 4.8 | 42 | 0% | 3 / 5 |
| 16 x 2 | 64 | 8 | 32 | 2.9 | 20 (r3) | 135 (32) | 28 | 4.8 | 50 | 0% | 3 / 5 |
| 32 x 1 | 8 | 1 | 32 | 2.9 | 57 (r3) | 183 (64) | 299 | 31.1 | -14 | 100% | 0 / 42 |
| 32 x 1 | 16 | 1 | 32 | 2.9 | 37 (r3) | 183 (64) | 299 | 31.1 | 7 | 98% | 14 / 42 |
| 32 x 1 | 32 | 1 | 32 | 2.9 | 26 (r3) | 183 (64) | 299 | 31.1 | 17 | 94% | 21 / 42 |
| 32 x 1 | 64 | 1 | 32 | 2.9 | 21 (r3) | 183 (64) | 299 | 31.1 | 22 | 93% | 25 / 42 |
| 32 x 1 | 8 | 2 | 32 | 2.9 | 55 (r3) | 183 (64) | 149 | 15.5 | 4 | 97% | 0 / 21 |
