act per layer per 8K micro-batch (report recipe, estimate): 1.63 GiB
params: experts 92 x 29.6 B + MTP 30.2 B

=== H100: HBM 74.5 GiB, NVLink domain 8, IB 50 GB/s per GPU
TP candidates (divide 96 heads, inside one NVLink domain, at most 8): [1, 2, 3, 4, 6, 8]
| PP x VP | EP | TP | stages | layers/stage | static GiB (rank) | layer x mb in flight (M) | acts no offload GiB | AttnRes+hidden (lower bound) GiB | headroom for acts GiB | acts that must leave HBM | EP IB ms / layer fwd ms |
| 4 x 8 | 16 | 8 | 32 | 2.9 | 107 (r1) | 99 (16) | 20 | 4.4 | 156 | 0% | 0 / 2 |
| 4 x 8 | 32 | 8 | 32 | 2.9 | 61 (r1) | 99 (16) | 20 | 4.4 | 203 | 0% | 0 / 2 |
| 4 x 8 | 64 | 8 | 32 | 2.9 | 38 (r1) | 99 (16) | 20 | 4.4 | 226 | 0% | 0 / 2 |
| 8 x 1 | 8 | 1 | 8 | 11.6 | 129 (r1) | 165 (16) | 269 | 7.4 | 132 | 51% | 0 / 17 |
| 8 x 1 | 16 | 1 | 8 | 11.6 | 77 (r1) | 165 (16) | 269 | 7.4 | 184 | 32% | 0 / 17 |
| 8 x 1 | 32 | 1 | 8 | 11.6 | 51 (r1) | 165 (16) | 269 | 7.4 | 210 | 22% | 0 / 17 |
| 8 x 1 | 64 | 1 | 8 | 11.6 | 39 (r0) | 165 (16) | 269 | 7.4 | 222 | 18% | 0 / 17 |
| 8 x 1 | 8 | 2 | 8 | 11.6 | 122 (r1) | 165 (16) | 135 | 3.7 | 143 | 0% | 0 / 9 |
| 8 x 1 | 16 | 2 | 8 | 11.6 | 70 (r1) | 165 (16) | 135 | 3.7 | 195 | 0% | 0 / 9 |
| 8 x 1 | 32 | 2 | 8 | 11.6 | 44 (r1) | 165 (16) | 135 | 3.7 | 220 | 0% | 0 / 9 |
| 8 x 1 | 64 | 2 | 8 | 11.6 | 31 (r1) | 165 (16) | 135 | 3.7 | 233 | 0% | 0 / 9 |
| 8 x 1 | 8 | 8 | 8 | 11.6 | 116 (r1) | 165 (16) | 34 | 0.9 | 151 | 0% | 0 / 2 |
| 8 x 1 | 16 | 8 | 8 | 11.6 | 65 (r1) | 165 (16) | 34 | 0.9 | 203 | 0% | 0 / 2 |
| 8 x 1 | 32 | 8 | 8 | 11.6 | 39 (r1) | 165 (16) | 34 | 0.9 | 229 | 0% | 0 / 2 |
| 8 x 1 | 64 | 8 | 8 | 11.6 | 26 (r1) | 165 (16) | 34 | 0.9 | 241 | 0% | 0 / 2 |
| 8 x 2 | 8 | 1 | 16 | 5.8 | 129 (r1) | 126 (16) | 206 | 18.8 | 120 | 42% | 0 / 17 |
| 8 x 2 | 16 | 1 | 16 | 5.8 | 78 (r1) | 126 (16) | 206 | 18.8 | 172 | 16% | 0 / 17 |
| 8 x 2 | 32 | 1 | 16 | 5.8 | 52 (r1) | 126 (16) | 206 | 18.8 | 198 | 4% | 0 / 17 |
| 8 x 2 | 64 | 1 | 16 | 5.8 | 39 (r1) | 126 (16) | 206 | 18.8 | 211 | 0% | 0 / 17 |
| 8 x 2 | 8 | 2 | 16 | 5.8 | 122 (r1) | 126 (16) | 103 | 9.4 | 137 | 0% | 0 / 9 |
| 8 x 2 | 16 | 2 | 16 | 5.8 | 70 (r1) | 126 (16) | 103 | 9.4 | 189 | 0% | 0 / 9 |
| 8 x 2 | 32 | 2 | 16 | 5.8 | 44 (r1) | 126 (16) | 103 | 9.4 | 214 | 0% | 0 / 9 |
| 8 x 2 | 64 | 2 | 16 | 5.8 | 31 (r1) | 126 (16) | 103 | 9.4 | 227 | 0% | 0 / 9 |
| 8 x 2 | 8 | 8 | 16 | 5.8 | 116 (r1) | 126 (16) | 26 | 2.4 | 150 | 0% | 0 / 2 |
| 8 x 2 | 16 | 8 | 16 | 5.8 | 65 (r1) | 126 (16) | 26 | 2.4 | 201 | 0% | 0 / 2 |
| 8 x 2 | 32 | 8 | 16 | 5.8 | 39 (r1) | 126 (16) | 26 | 2.4 | 227 | 0% | 0 / 2 |
| 8 x 2 | 64 | 8 | 16 | 5.8 | 26 (r1) | 126 (16) | 26 | 2.4 | 240 | 0% | 0 / 2 |
| 8 x 3 | 8 | 1 | 24 | 3.9 | 129 (r1) | 116 (16) | 189 | 23.4 | 116 | 39% | 0 / 17 |
| 8 x 3 | 16 | 1 | 24 | 3.9 | 77 (r1) | 116 (16) | 189 | 23.4 | 168 | 11% | 0 / 17 |
| 8 x 3 | 32 | 1 | 24 | 3.9 | 51 (r1) | 116 (16) | 189 | 23.4 | 194 | 0% | 0 / 17 |
| 8 x 3 | 64 | 1 | 24 | 3.9 | 39 (r0) | 116 (16) | 189 | 23.4 | 206 | 0% | 0 / 17 |
| 8 x 3 | 8 | 2 | 24 | 3.9 | 122 (r1) | 116 (16) | 95 | 11.7 | 135 | 0% | 0 / 9 |
| 8 x 3 | 16 | 2 | 24 | 3.9 | 70 (r1) | 116 (16) | 95 | 11.7 | 187 | 0% | 0 / 9 |
| 8 x 3 | 32 | 2 | 24 | 3.9 | 44 (r1) | 116 (16) | 95 | 11.7 | 212 | 0% | 0 / 9 |
| 8 x 3 | 64 | 2 | 24 | 3.9 | 31 (r1) | 116 (16) | 95 | 11.7 | 225 | 0% | 0 / 9 |
| 8 x 3 | 8 | 8 | 24 | 3.9 | 116 (r1) | 116 (16) | 24 | 2.9 | 149 | 0% | 0 / 2 |
| 8 x 3 | 16 | 8 | 24 | 3.9 | 65 (r1) | 116 (16) | 24 | 2.9 | 201 | 0% | 0 / 2 |
| 8 x 3 | 32 | 8 | 24 | 3.9 | 39 (r1) | 116 (16) | 24 | 2.9 | 227 | 0% | 0 / 2 |
| 8 x 3 | 64 | 8 | 24 | 3.9 | 26 (r1) | 116 (16) | 24 | 2.9 | 239 | 0% | 0 / 2 |
| 8 x 4 | 8 | 1 | 32 | 2.9 | 130 (r3) | 111 (16) | 181 | 27.8 | 110 | 39% | 0 / 17 |
| 8 x 4 | 16 | 1 | 32 | 2.9 | 78 (r3) | 111 (16) | 181 | 27.8 | 162 | 11% | 0 / 17 |
| 8 x 4 | 32 | 1 | 32 | 2.9 | 52 (r3) | 111 (16) | 181 | 27.8 | 188 | 0% | 0 / 17 |
| 8 x 4 | 64 | 1 | 32 | 2.9 | 40 (r3) | 111 (16) | 181 | 27.8 | 201 | 0% | 0 / 17 |
| 8 x 4 | 8 | 2 | 32 | 2.9 | 122 (r3) | 111 (16) | 91 | 13.9 | 132 | 0% | 0 / 9 |
| 8 x 4 | 16 | 2 | 32 | 2.9 | 71 (r3) | 111 (16) | 91 | 13.9 | 184 | 0% | 0 / 9 |
| 8 x 4 | 32 | 2 | 32 | 2.9 | 45 (r3) | 111 (16) | 91 | 13.9 | 210 | 0% | 0 / 9 |
| 8 x 4 | 64 | 2 | 32 | 2.9 | 32 (r3) | 111 (16) | 91 | 13.9 | 223 | 0% | 0 / 9 |
| 8 x 4 | 8 | 8 | 32 | 2.9 | 116 (r3) | 111 (16) | 23 | 3.5 | 148 | 0% | 0 / 2 |
| 8 x 4 | 16 | 8 | 32 | 2.9 | 65 (r3) | 111 (16) | 23 | 3.5 | 200 | 0% | 0 / 2 |
| 8 x 4 | 32 | 8 | 32 | 2.9 | 39 (r3) | 111 (16) | 23 | 3.5 | 226 | 0% | 0 / 2 |
| 8 x 4 | 64 | 8 | 32 | 2.9 | 26 (r3) | 111 (16) | 23 | 3.5 | 239 | 0% | 0 / 2 |
| 16 x 1 | 8 | 1 | 16 | 5.8 | 81 (r1) | 174 (32) | 284 | 15.3 | 172 | 40% | 0 / 17 |
| 16 x 1 | 16 | 1 | 16 | 5.8 | 50 (r1) | 174 (32) | 284 | 15.3 | 203 | 29% | 0 / 17 |
| 16 x 1 | 32 | 1 | 16 | 5.8 | 35 (r1) | 174 (32) | 284 | 15.3 | 218 | 23% | 0 / 17 |
| 16 x 1 | 64 | 1 | 16 | 5.8 | 27 (r1) | 174 (32) | 284 | 15.3 | 226 | 20% | 0 / 17 |
| 16 x 1 | 8 | 2 | 16 | 5.8 | 77 (r1) | 174 (32) | 142 | 7.7 | 183 | 0% | 0 / 9 |
| 16 x 1 | 16 | 2 | 16 | 5.8 | 46 (r1) | 174 (32) | 142 | 7.7 | 214 | 0% | 0 / 9 |
| 16 x 1 | 32 | 2 | 16 | 5.8 | 31 (r1) | 174 (32) | 142 | 7.7 | 230 | 0% | 0 / 9 |
| 16 x 1 | 64 | 2 | 16 | 5.8 | 23 (r1) | 174 (32) | 142 | 7.7 | 238 | 0% | 0 / 9 |
| 16 x 1 | 8 | 8 | 16 | 5.8 | 74 (r1) | 174 (32) | 36 | 1.9 | 192 | 0% | 0 / 2 |
| 16 x 1 | 16 | 8 | 16 | 5.8 | 43 (r1) | 174 (32) | 36 | 1.9 | 223 | 0% | 0 / 2 |
| 16 x 1 | 32 | 8 | 16 | 5.8 | 28 (r1) | 174 (32) | 36 | 1.9 | 239 | 0% | 0 / 2 |
| 16 x 1 | 64 | 8 | 16 | 5.8 | 20 (r1) | 174 (32) | 36 | 1.9 | 246 | 0% | 0 / 2 |
| 16 x 2 | 8 | 1 | 32 | 2.9 | 82 (r3) | 135 (32) | 220 | 38.1 | 149 | 33% | 0 / 17 |
| 16 x 2 | 16 | 1 | 32 | 2.9 | 51 (r3) | 135 (32) | 220 | 38.1 | 180 | 19% | 0 / 17 |
| 16 x 2 | 32 | 1 | 32 | 2.9 | 35 (r3) | 135 (32) | 220 | 38.1 | 195 | 11% | 0 / 17 |
| 16 x 2 | 64 | 1 | 32 | 2.9 | 27 (r3) | 135 (32) | 220 | 38.1 | 203 | 8% | 0 / 17 |
| 16 x 2 | 8 | 2 | 32 | 2.9 | 77 (r3) | 135 (32) | 110 | 19.0 | 172 | 0% | 0 / 9 |
| 16 x 2 | 16 | 2 | 32 | 2.9 | 46 (r3) | 135 (32) | 110 | 19.0 | 203 | 0% | 0 / 9 |
| 16 x 2 | 32 | 2 | 32 | 2.9 | 31 (r3) | 135 (32) | 110 | 19.0 | 218 | 0% | 0 / 9 |
| 16 x 2 | 64 | 2 | 32 | 2.9 | 23 (r3) | 135 (32) | 110 | 19.0 | 226 | 0% | 0 / 9 |
| 16 x 2 | 8 | 8 | 32 | 2.9 | 74 (r3) | 135 (32) | 28 | 4.8 | 189 | 0% | 0 / 2 |
| 16 x 2 | 16 | 8 | 32 | 2.9 | 43 (r3) | 135 (32) | 28 | 4.8 | 220 | 0% | 0 / 2 |
| 16 x 2 | 32 | 8 | 32 | 2.9 | 28 (r3) | 135 (32) | 28 | 4.8 | 236 | 0% | 0 / 2 |
| 16 x 2 | 64 | 8 | 32 | 2.9 | 20 (r3) | 135 (32) | 28 | 4.8 | 244 | 0% | 0 / 2 |
| 32 x 1 | 8 | 1 | 32 | 2.9 | 57 (r3) | 183 (64) | 299 | 31.1 | 180 | 40% | 0 / 17 |
| 32 x 1 | 16 | 1 | 32 | 2.9 | 37 (r3) | 183 (64) | 299 | 31.1 | 200 | 33% | 0 / 17 |
| 32 x 1 | 32 | 1 | 32 | 2.9 | 26 (r3) | 183 (64) | 299 | 31.1 | 211 | 29% | 0 / 17 |
| 32 x 1 | 64 | 1 | 32 | 2.9 | 21 (r3) | 183 (64) | 299 | 31.1 | 216 | 28% | 0 / 17 |
| 32 x 1 | 8 | 2 | 32 | 2.9 | 55 (r3) | 183 (64) | 149 | 15.5 | 198 | 0% | 0 / 9 |
| 32 x 1 | 16 | 2 | 32 | 2.9 | 34 (r3) | 183 (64) | 149 | 15.5 | 218 | 0% | 0 / 9 |
| 32 x 1 | 32 | 2 | 32 | 2.9 | 24 (r3) | 183 (64) | 149 | 15.5 | 229 | 0% | 0 / 9 |
| 32 x 1 | 64 | 2 | 32 | 2.9 | 19 (r3) | 183 (64) | 149 | 15.5 | 234 | 0% | 0 / 9 |
| 32 x 1 | 8 | 8 | 32 | 2.9 | 53 (r3) | 183 (64) | 37 | 3.9 | 211 | 0% | 0 / 2 |
| 32 x 1 | 16 | 8 | 32 | 2.9 | 32 (r3) | 183 (64) | 37 | 3.9 | 232 | 0% | 0 / 2 |
| 32 x 1 | 32 | 8 | 32 | 2.9 | 22 (r3) | 183 (64) | 37 | 3.9 | 242 | 0% | 0 / 2 |
| 32 x 1 | 64 | 8 | 32 | 2.9 | 17 (r3) | 183 (64) | 37 | 3.9 | 247 | 0% | 0 / 2 |
